Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
Atlantean Technologies,Other Organizations,"Through a new patented air curtain innovation, the only system in the world for dredging and offshore construction waste containment, environmental and marine life safety, protection of all port and offshore project assets, plus protecting the embarkation and disembarkation of transiting structures, their placements offshore, and creating a much safer work environment for all crews installing offshore wind farms.",www.wavekiller.net,USA,New York,Glen Cove,2 Perkins Court,,11542,Destino,Rivera,dmrivera@wavekiller.net,"A new innovation that protects wind ports, coastal infrastructures and the offshore wind industry from disasters and environmental risks in ways never before imagined. Our patented, game-changing, environmentally safe 'Wave Killer' air curtains are not found anywhere else in the world (walls of air bubbles 10, 20, even 30 feet thick that can span for miles on end). By anchoring them to the ocean floor and changing the medium of the water from liquid to gas (air), they can protect entire coastal infrastructures by ""killing"" ocean waves - stopping them from coming ashore during hurricanes, eradicating beach erosion, and among several other world-changing applications, they also stop waves from damaging port AND offshore construction areas - keeping assets and lives safer than ever previously possible. Additionally, concussion waves from pile driving and seismic activity CAN NOT penetrate our perimeters, making marine life and local fishing industries safe (and alleviating public backlash as well). 

Wave Killer is the only system on the planet that provides the vital missing link to dredging and offshore construction waste containment, environmental and marine life safety, protection of all port and offshore project assets, plus protecting the embarkation and disembarkation of transiting structures, their placements offshore, and creating a much safer work environment for all crews installing offshore wind farms.",No,POINT (-73.63165 40.85034)
Atlantean Technologies,Specialist Services,"Other Logistics Services,Other Specialist Services,Security Services",www.wavekiller.net,USA,New York,Glen Cove,2 Perkins Court,,11542,Destino,Rivera,dmrivera@wavekiller.net,"A new innovation that protects wind ports, coastal infrastructures and the offshore wind industry from disasters and environmental risks in ways never before imagined. Our patented, game-changing, environmentally safe 'Wave Killer' air curtains are not found anywhere else in the world (walls of air bubbles 10, 20, even 30 feet thick that can span for miles on end). By anchoring them to the ocean floor and changing the medium of the water from liquid to gas (air), they can protect entire coastal infrastructures by ""killing"" ocean waves - stopping them from coming ashore during hurricanes, eradicating beach erosion, and among several other world-changing applications, they also stop waves from damaging port AND offshore construction areas - keeping assets and lives safer than ever previously possible. Additionally, concussion waves from pile driving and seismic activity CAN NOT penetrate our perimeters, making marine life and local fishing industries safe (and alleviating public backlash as well). 

Wave Killer is the only system on the planet that provides the vital missing link to dredging and offshore construction waste containment, environmental and marine life safety, protection of all port and offshore project assets, plus protecting the embarkation and disembarkation of transiting structures, their placements offshore, and creating a much safer work environment for all crews installing offshore wind farms.",No,POINT (-73.63165 40.85034)
Atlantic Crane LLC,Offshore Const./Ops. and Vessels,"Crane Ship Supply,Jack-up Heavy Lift Vessel Supply",www.atlanticcrane.org,USA,New York,Farmingdale,108 Allen Blvd,,11735,David J.,Koehler,dkoehler@koehlerorg.com,crane & rigging rentals along with associated trucking,No,POINT (-73.41822 40.71616)
Atlantic Crane LLC,Onshore Construction Services,Not Provided,www.atlanticcrane.org,USA,New York,Farmingdale,108 Allen Blvd,,11735,David J.,Koehler,dkoehler@koehlerorg.com,crane & rigging rentals along with associated trucking,No,POINT (-73.41822 40.71616)
Atlantic Offshore Terminals,Other Organizations,Not Provided,atlanticterminals.com,USA,New York,New York,"145 Avenue of the Americas, Floor 7",,10012,Boone,Davis,bdavis@atlanticterminals.com,Atlantic Offshore Terminals is an industrial real estate development company focused on the development of strategic port and manufacturing facilities in the US.,No,POINT (-74.0046 40.7252)
Atlantic Queen Inc.,Offshore Const./Ops. and Vessels,"Subsea Surveys,Vessel Support Services,Vessel Survey and Inspection",Not provided,USA,Rhode Island,Wakefield,343 Winchester Drive,,2879,Howard A.,Follett,Hafrms@gmail.com,"Atlantic Queen, Inc. is a 68' commercial fishing business.  We hold a crew of 4.   We currently have all fishing permits for New York, Massachusetts, and RI.  The vessel is up to date with all state of the art electronics and safety equipment.  We have owned the vessel since 1987.",No,POINT (-71.49833 41.41915)
Atlantic Queen Inc.,Other Organizations,Scout boat services,Not provided,USA,Rhode Island,Wakefield,343 Winchester Drive,,2879,Howard A.,Follett,Hafrms@gmail.com,"Atlantic Queen, Inc. is a 68' commercial fishing business.  We hold a crew of 4.   We currently have all fishing permits for New York, Massachusetts, and RI.  The vessel is up to date with all state of the art electronics and safety equipment.  We have owned the vessel since 1987.",No,POINT (-71.49833 41.41915)
"Atlantic Testing Laboratories, Limited",Consulting Services,"Engineering (Civil),Engineering (Environmental),Engineering (Structural),Technical Testing and Validation,Verification and Compliance",atlantictesting.com,USA,New York,Canton,6431 US Highway 11,,13617,Eric,Vanalstyne,evanalstyne@atlantictesting.com,"Atlantic Testing Laboratories (ATL) has over 55 years of experience in providing technical support services to a wide range of clients and projects.  We hold term contracts with multiple government agencies and have long-term working relationships with many private firms and entities.  The main categories of services performed include subsurface investigation on land and water, geotechnical engineering, environmental (including asbestos, lead, and tank testing), special inspection and construction materials testing, laboratory testing (aggregates, geotechnical, thermal resistivity, and concrete petrography), and non-destructive testing and engineering.

ATL is a Woman-Owned Business Enterprise (WBE) in New York, Massachusetts, and New Jersey.  ATL has 10 offices and approximately 260 employees throughout New York State.  Our laboratories are accredited, and our staff hold many and varied professional licenses.  We maintain an active and successful safety program that includes employee training, daily hazard recognition, job safety analysis, and extensive reporting.",Yes,POINT (-75.10633 44.61746)
"Atlantic Testing Laboratories, Limited",Onshore Construction Services,"Onshore Cable Installation,Onshore Substation EPC",atlantictesting.com,USA,New York,Canton,6431 US Highway 11,,13617,Eric,Vanalstyne,evanalstyne@atlantictesting.com,"Atlantic Testing Laboratories (ATL) has over 55 years of experience in providing technical support services to a wide range of clients and projects.  We hold term contracts with multiple government agencies and have long-term working relationships with many private firms and entities.  The main categories of services performed include subsurface investigation on land and water, geotechnical engineering, environmental (including asbestos, lead, and tank testing), special inspection and construction materials testing, laboratory testing (aggregates, geotechnical, thermal resistivity, and concrete petrography), and non-destructive testing and engineering.

ATL is a Woman-Owned Business Enterprise (WBE) in New York, Massachusetts, and New Jersey.  ATL has 10 offices and approximately 260 employees throughout New York State.  Our laboratories are accredited, and our staff hold many and varied professional licenses.  We maintain an active and successful safety program that includes employee training, daily hazard recognition, job safety analysis, and extensive reporting.",Yes,POINT (-75.10633 44.61746)
"Atlantic Testing Laboratories, Limited",Specialist Services,Technical Testing and Validation,atlantictesting.com,USA,New York,Canton,6431 US Highway 11,,13617,Eric,Vanalstyne,evanalstyne@atlantictesting.com,"Atlantic Testing Laboratories (ATL) has over 55 years of experience in providing technical support services to a wide range of clients and projects.  We hold term contracts with multiple government agencies and have long-term working relationships with many private firms and entities.  The main categories of services performed include subsurface investigation on land and water, geotechnical engineering, environmental (including asbestos, lead, and tank testing), special inspection and construction materials testing, laboratory testing (aggregates, geotechnical, thermal resistivity, and concrete petrography), and non-destructive testing and engineering.

ATL is a Woman-Owned Business Enterprise (WBE) in New York, Massachusetts, and New Jersey.  ATL has 10 offices and approximately 260 employees throughout New York State.  Our laboratories are accredited, and our staff hold many and varied professional licenses.  We maintain an active and successful safety program that includes employee training, daily hazard recognition, job safety analysis, and extensive reporting.",Yes,POINT (-75.10633 44.61746)
Atlantic Wind Transfers,Not Provided,"Crew Transfer Vessel (CTV) Supply,O&M Support Services,Offshore O&M Services,Other Support Vessel Supply,Vessel Crew Supply,Vessel Support Services       Business Advisory,Consultancy Company Partnership,Other Consulting,Vessel Design Consulting,Vessel Management Services",www.atlanticwindtransfers.com,USA,Rhode Island,North Kingstown,1347 Roger Williams Way,,2852,Charles,A. Donadio Jr.,charlie@vineyardfastferry.com,"Atlantic Wind Transfers offers the most experienced professional commercial marine team for Offshore Wind Support Services in the U.S.  We built the first U.S. Coast Guard Certified Jones Act-Compliant crew transfer vessel for the Block Island Wind Farm and our experienced Captains and Crew have performed thousands of safe transfers in all weather/sea conditions. We can provide offshore wind farm support vessels for Wind Farm Installation, Dive Operations, Cable Laying, Hydro-graphic Surveys, Container & Cargo Transport, Crew Transfers and Operations & Maintenance Vessel support.",,POINT (-71.4137 41.58744)
